sub_H,sub_B,pka_H,pka_B,delta_G_B,dipole_H,homo_H,lumo_H,electronegativity_H,dipole_B,homo_B,lumo_B,electronegativity_B,Mulliken_charge_C_H,APT_charge_C_H,NPA_charge_C_H,Mulliken_charge_H_H,APT_charge_H_H,NPA_charge_H_H,NICS0,NICS1,yield,y_pred_mean
1,2a,32.7,35.0,14.2,0.6974,-0.27665,0.00785,0.1344,1.4392,-0.28457,0.0299,0.127335,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,10.1741,8.4963,95,87.19840526734453
1,2b,32.7,35.8,9.7,0.6974,-0.27665,0.00785,0.1344,1.0548,-0.28379,0.03702,0.123385,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,10.1741,8.4963,70,68.23344369237518
1,2c,32.7,36.3,6.2,0.6974,-0.27665,0.00785,0.1344,1.3174,-0.28448,0.03041,0.127035,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,10.1741,8.4963,8,11.179674593688636
1,2d,32.7,33.1,9.5,0.6974,-0.27665,0.00785,0.1344,1.0675,-0.29832,0.06388,0.11722,0.148169,0.245315,0.16425,0.04554,0.095014,0.21569,10.1741,8.4963,90,57.11511784133232
2,2a,37.2,35.0,14.2,2.4913,-0.25022,0.02092,0.11465,1.4392,-0.28457,0.0299,0.127335,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,12.5414,10.0481,35,38.46717895264027
2,2b,37.2,35.8,9.7,2.4913,-0.25022,0.02092,0.11465,1.0548,-0.28379,0.03702,0.123385,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,12.5414,10.0481,83,75.92782771497154
2,2c,37.2,36.3,6.2,2.4913,-0.25022,0.02092,0.11465,1.3174,-0.28448,0.03041,0.127035,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,12.5414,10.0481,86,68.07912030980526
2,2d,37.2,33.1,9.5,2.4913,-0.25022,0.02092,0.11465,1.0675,-0.29832,0.06388,0.11722,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,12.5414,10.0481,32,2.319416396906418
3,2a,42.4,35.0,14.2,1.3906,-0.27412,0.02796,0.12308,1.4392,-0.28457,0.0299,0.127335,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,8.9292,9.8686,5,7.196829881718152
3,2b,42.4,35.8,9.7,1.3906,-0.27412,0.02796,0.12308,1.0548,-0.28379,0.03702,0.123385,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,8.9292,9.8686,4,10.898509412815748
3,2c,42.4,36.3,6.2,1.3906,-0.27412,0.02796,0.12308,1.3174,-0.28448,0.03041,0.127035,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,8.9292,9.8686,60,58.94592091111534
3,2d,42.4,33.1,9.5,1.3906,-0.27412,0.02796,0.12308,1.0675,-0.29832,0.06388,0.11722,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,8.9292,9.8686,6,2.3832174571486995
4,2c,37.2,36.3,6.2,2.4913,-0.25022,0.02092,0.11465,1.3174,-0.28448,0.03041,0.127335,0.085287,0.16407,0.00977,0.032127,0.075675,0.22098,12.5414,10.0481,74,68.07912030980526
5,2c,36.9,36.3,6.2,2.5009,-0.24991,0.02035,0.11478,1.3174,-0.28448,0.03041,0.127335,0.083058,0.163799,0.00699,0.030482,0.075223,0.22167,12.6172,10.1065,65,69.30789487067806
6,2c,36.3,36.3,6.2,1.733,-0.25263,0.00728,0.122675,1.3174,-0.28448,0.03041,0.127335,0.095978,0.198568,0.0079,0.041248,0.09084,0.22916,11.4655,9.2687,83,66.94036748582747
7,2c,38.3,36.3,6.2,2.3372,-0.24356,0.02244,0.11056,1.3174,-0.28448,0.03041,0.127335,0.034108,0.16637,0.01269,0.019854,0.067953,0.2202,12.0515,9.7146,53,52.64251443619871
8,2c,37.7,36.3,6.2,2.138,-0.24549,0.02196,0.111765,1.3174,-0.28448,0.03041,0.127335,0.088925,0.167932,0.01045,0.030306,0.073636,0.2205,12.3276,9.8741,43,59.751115087516666
9,2c,37.2,36.3,6.2,2.2136,-0.24779,0.02305,0.11237,1.3174,-0.28448,0.03041,0.127335,0.083749,0.15532,0.00882,0.030907,0.073955,0.22039,12.4346,9.9424,48,61.35155277696574
10,2c,37.7,36.3,6.2,2.339,-0.24602,0.02506,0.11048,1.3174,-0.28448,0.03041,0.127335,0.082873,0.135177,0.0053,0.030647,0.074267,0.22036,12.3916,9.8727,64,63.58088676903645
11,2c,36.9,36.3,6.2,2.7213,-0.24484,0.02619,0.109325,1.3174,-0.28448,0.03041,0.127335,0.082568,0.157276,0.0089,0.030686,0.072452,0.21933,12.7052,7.6136,63,66.51430892957048
12,2c,37.4,36.3,6.2,2.9521,-0.23929,0.01901,0.11014,1.3174,-0.28448,0.03041,0.127335,0.08818,0.193552,0.01599,0.031558,0.07476,0.22061,12.059,9.611,73,71.5455935579715
13,2c,36.1,36.3,6.2,4.1154,-0.25721,0.01064,0.123285,1.3174,-0.28448,0.03041,0.127335,0.088735,0.182114,0.0169,0.035156,0.079034,0.22252,12.4108,9.9317,57,72.0263100095476
